Revise	Exam	Anxiety	Gender
4	40	86.298	Male
11	65	88.716	Female
27	80	70.178	Male
53	80	61.312	Male
4	40	89.522	Male
22	70	60.506	Female
16	20	81.462	Female
21	55	75.82	Female
25	50	69.372	Female
18	40	82.268	Female
18	45	79.044	Male
16	85	80.656	Male
13	70	70.178	Male
18	50	75.014	Female
98	95	34.714	Male
1	70	95.164	Male
14	95	75.82	Male
29	95	79.044	Female
4	50	91.134	Female
23	60	64.536	Male
14	80	80.656	Male
12	75	77.432	Male
22	85	65.342	Female
84	90	.0560000000000116	Female
23	30	71.79	Female
26	60	81.462	Female
24	75	63.73	Male
72	75	27.46	Female
37	27	73.402	Female
10	20	89.522	Male
3	75	89.522	Female
36	90	75.014	Female
43	60	43.58	Male
19	30	82.268	Male
12	80	79.044	Male
9	10	79.044	Female
72	85	37.132	Male
10	7	81.462	Male
12	5	83.074	Female
30	85	50.834	Male
15	20	82.268	Male
8	45	78.238	Female
34	60	72.596	Male
22	70	74.208	Female
21	50	75.82	Female
27	25	70.984	Male
6	50	97.582	Male
18	40	67.76	Male
8	80	75.014	Male
19	50	73.402	Female
0	35	93.552	Female
52	80	58.894	Female
38	50	53.252	Female
19	49	84.686	Male
23	75	89.522	Female
11	25	71.79	Female
27	65	82.268	Male
17	80	69.372	Male
13	50	62.118	Male
42	70	68.566	Female
4	40	93.552	Male
8	80	84.686	Female
6	10	82.268	Male
11	20	81.462	Female
7	40	82.268	Male
15	40	91.134	Male
4	70	91.94	Female
28	52	86.298	Female
22	50	72.596	Male
29	60	63.73	Female
2	80	63.73	Male
16	60	71.79	Female
59	65	57.282	Male
10	15	84.686	Female
13	85	84.686	Male
8	20	77.432	Female
5	80	82.268	Female
2	100	10	Male
38	100	50.834	Female
4	80	87.91	Male
10	10	83.88	Male
6	70	84.686	Female
68	100	20.206	Female
8	70	87.104	Male
1	70	83.88	Female
14	65	67.76	Male
42	75	95.97	Female
13	85	62.118	Female
1	30	84.686	Male
3	5	92.746	Male
5	10	84.686	Female
12	90	83.074	Female
19	70	73.402	Male
2	20	87.91	Female
19	85	71.79	Male
11	35	86.298	Male
15	30	84.686	Female
23	70	75.82	Male
13	55	70.984	Female
14	75	78.238	Female
1	2	82.268	Male
9	40	79.044	Male
20	50	91.134	Female
